Sl. No.,State/UT,Offence,Total Number of Challan,Revenue Collected (In Rupees)
1,Bihar,Owner or person in-charge of a vehicle permitting an unlicensed person or an under-aged person to drive it (Parents/guardians/friends permitting minor to drive vehicle) and driving by an under-aged person (minor driving vehicle).,1316,4427600
2,Chhattisgarh,Owner or person in-charge of a vehicle permitting an unlicensed person or an under-aged person to drive it (Parents/guardians/friends permitting minor to drive vehicle) and driving by an under-aged person (minor driving vehicle).,71,130500
3,Delhi,Driving by Minors,22,44100
4,Jammu and Kashmir,Owner or person in-charge of a vehicle permitting an under-aged person to drive it (Parents or guardians or friends permitting minor to drive vehicle),65,136100
5,Uttarakhand,Driving by an under-aged person (minor driving vehicle),22,105500
6,Uttar Pradesh,Driving by an under-aged person (minor driving vehicle),1,23150
